,filename,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
136,628ff566f373f4a668cc11f44ba7b9f8,pdf,11878,3262,0.8200875568277488,0.8035864623674019,0.01650109446034686,10
137,cc5892c4733132d53bdd76e1c33aed12,pdf,26038,9056,0.8049005299946232,0.7573162301252017,0.047584299869421615,26
138,f21af16047e3bc4298d8c2ccc050f0fb_summary_fr,txt,439,114,0.8041002277904328,0.7949886104783599,0.009111617312072893,0
139,55a742c66d5e6e7f49f7ab76d279dd76,pdf,76106,23562,0.8118939374030957,0.7840643313273592,0.027829606075736472,5
140,ab8bde56e0d887219dddbf9a8a0b0496,pdf,15972,4473,0.804908590032557,0.7781116954670674,0.026796894565489608,34
141,67bc653c99ed9a2335c156017e34bfde_summary_en,txt,790,153,0.8265822784810126,0.8265822784810126,0.0,0
142,78199ce04a046cec1bbad1fc9bac50d6_summary_fr,txt,151,39,0.8145695364238411,0.8145695364238411,0.0,0
143,610b28017b5d8f296778d87377c23b9e_summary_fr,txt,541,119,0.8373382624768947,0.8373382624768947,0.0,0
144,85a7762ffdba91c9b11b478fb106894a,pdf,19786,6313,0.7985949661376731,0.7673607601334277,0.031234206004245427,23
145,308721b4f1197f801a81c43e0b5cb02b_summary_fr,txt,499,101,0.8316633266533067,0.8316633266533067,0.0,0
146,f09c87a6c084c8f1ca93145b6c9c1f6a_summary_fr,txt,336,76,0.8244047619047619,0.8244047619047619,0.0,0
147,69548b6abab1b44ebc1d4ffd305d357b_summary_en,txt,1034,228,0.8172147001934236,0.8172147001934236,0.0,0
148,ab78fcf1c8d6b6a7f2361bf27d8a25e8,pdf,8028,1993,0.8176382660687593,0.8014449427005481,0.01619332336821126,11
149,d6f390b9f0d2da07d47b90e0a2c25aab,pdf,4899,1233,0.8154725454174321,0.8030210246989181,0.012451520718513982,0
150,6bd741b4a75bde8afa2ec2cf548dc713_summary_fr,txt,239,53,0.8284518828451883,0.8284518828451883,0.0,0
151,a2428b5192404476dad1c0fa7b4b43d2,pdf,4406,1406,0.799364502950522,0.7748524738992283,0.02451202905129369,8
152,501d7e2867b4aafadba5933fef12e8fe_summary_fr,txt,265,52,0.8264150943396227,0.8264150943396227,0.0,0
153,a6c8ae27fa043b0ca5d291d8fef61b45,pdf,12158,3128,0.8144431649942425,0.7982398420792893,0.016203322914953116,16
154,81e16deb90f830b85715ab0167b9013c,pdf,2192,577,0.8175182481751825,0.8056569343065694,0.011861313868613138,0
155,c973915fcca2ada3cb498a8d03ea2d17_summary_fr,txt,358,78,0.8296089385474861,0.8268156424581006,0.002793296089385475,0
156,f3ea76194a0f85b037d09ca50a322b24,pdf,9651,2887,0.7943218319345146,0.7749456014920734,0.0193762304424412,12
157,64353226b6e3a5df8a0f08635b04432c_summary_en,txt,615,141,0.8146341463414634,0.7967479674796748,0.01788617886178862,0
158,70e09440195ce54e5e83f1620055a766,pdf,9456,2876,0.7583544839255499,0.7378384094754653,0.020516074450084604,0
159,2f6d7d52689c228e889d5e081ba3c72a,pdf,7207,2159,0.7806299431108644,0.7602331067018177,0.02039683640904676,0
